id,name,category,cooking_time,difficulty,required_ingredients,optional_ingredients,tags,description
M016,동그랑땡,반찬-전,30,중간,"돼지고기 다짐육, 두부 (부침용), 양파, 당근, 계란, 부침가루",쪽파,"한식, 전",명절 단골 동그랑땡
M017,계란말이,반찬-계란,10,쉬움,"계란, 소금, 식용유","당근, 쪽파, 햄, 치즈 슬라이스","한식, 계란",도시락 필수 계란말이
M018,계란찜,반찬-계란,15,쉬움,"계란, 새우젓, 소금","쪽파, 당근","한식, 계란",부드러운 계란찜
M019,스크램블에그,반찬-계란,5,쉬움,"계란, 우유, 소금, 후추, 버터","치즈 슬라이스, 쪽파","양식, 계란",포실한 스크램블
M020,장조림,반찬-조림,60,중간,"소고기 장조림용, 메추리알, 진간장, 올리고당, 다진마늘",꽈리고추,"한식, 단백질",도시락 단골 소고기 장조림
M021,제육볶음,메인-육류,20,중간,"돼지고기 앞다리살, 양파, 대파, 고추장, 고춧가루, 진간장, 설탕, 다진마늘","당근, 양배추, 청양고추","한식, 매콤, 단백질",도시락 인기 제육볶음
M022,닭갈비,메인-육류,25,중간,"닭다리살, 양배추, 양파, 고추장, 고춧가루, 진간장, 설탕, 다진마늘","고구마, 깻잎","한식, 매콤, 단백질",철판 없이 만드는 닭갈비
M023,닭가슴살 데리야끼,메인-육류,20,쉬움,"닭가슴살, 진간장, 설탕, 청주/맛술, 다진마늘, 참깨","양파, 대파","일식, 단백질",다이어트 친화 데리야끼
M024,불고기,메인-육류,30,중간,"소고기 불고기용, 양파, 대파, 진간장, 설탕, 다진마늘, 참기름","당근, 새송이버섯","한식, 단백질",도시락 단골 불고기
M025,미니돈까스,메인-육류,25,중간,"돼지고기 등심, 빵가루, 계란, 부침가루, 식용유",양배추,"양식, 단백질, 튀김",한입 사이즈 미니 돈까스
M026,햄구이,반찬-육류,10,쉬움,"햄, 식용유",케첩,"양식, 단백질",간단한 햄 구이
M027,비엔나소시지볶음,반찬-육류,10,쉬움,"비엔나소시지, 케첩, 식용유, 설탕","양파, 피망, 파프리카","양식, 단백질",도시락 단골 소시지 볶음
M028,두부조림,반찬-두부,20,쉬움,"두부 (부침용), 진간장, 고춧가루, 다진마늘, 올리고당, 참기름","쪽파, 양파, 청양고추","한식, 두부",두부 한모로 만드는 밑반찬
M029,두부부침,반찬-두부,10,쉬움,"두부 (부침용), 식용유, 소금","진간장, 쪽파","한식, 두부",기본 두부부침
M030,김치전,반찬-전,15,쉬움,"김치, 부침가루, 식용유","양파, 청양고추, 통조림 참치","한식, 전",비 오는 날 김치전
M031,야채볶음밥,밥류,15,쉬움,"백미, 양파, 당근, 애호박, 계란, 진간장, 식용유, 참기름","햄, 베이컨, 참깨","한식, 밥",냉장고 정리 야채볶음밥
M032,김치볶음밥,밥류,15,쉬움,"백미, 김치, 식용유, 설탕, 참기름, 참깨","스팸, 햄, 계란, 모짜렐라치즈","한식, 매콤",김치만 있어도 OK
M033,새우볶음밥,밥류,15,쉬움,"백미, 새우, 양파, 당근, 계란, 식용유, 굴소스","쪽파, 참깨","양식, 단백질",고소한 새우볶음밥
M034,참치마요 주먹밥,밥류,15,쉬움,"백미, 통조림 참치, 마요네즈, 김자반, 참깨, 소금","참기름, 쪽파","한식, 도시락",도시락 인기 주먹밥
M035,기본 김밥,밥류,30,중간,"백미, 김 (조미김), 단무지, 시금치, 당근, 햄, 계란, 참기름, 참깨","어묵, 우엉, 오이","한식, 도시락",기본 김밥
M036,유부초밥,밥류,15,쉬움,"백미, 유부, 식초, 설탕, 참깨","당근, 오이, 단무지","일식, 도시락",도시락 인기 유부초밥
M037,김자반 주먹밥,밥류,10,쉬움,"백미, 김자반, 참기름, 참깨, 소금","통조림 참치, 마요네즈","한식, 도시락",심플한 김자반 주먹밥
M038,토마토 계란볶음,반찬-볶음,10,쉬움,"토마토, 계란, 양파, 식용유, 소금, 설탕","쪽파, 굴소스","중식, 채소",고소달콤한 토마토 계란볶음
M039,양배추 찜,반찬-채소,10,쉬움,"양배추, 소금","쌈장, 진간장","한식, 다이어트",건강한 양배추 찜
M040,닭가슴살 샐러드,메인-샐러드,15,쉬움,"닭가슴살, 양배추, 오이, 파프리카, 올리브유, 소금, 후추",방울토마토,"양식, 다이어트",다이어트 도시락
M041,카레라이스,메인-덮밥,25,쉬움,"백미, 닭가슴살, 양파, 감자, 당근, 카레가루, 식용유","애호박, 파프리카","일식, 단백질",냉장고 채소 활용 카레
M042,하이라이스,메인-덮밥,25,중간,"백미, 소고기 불고기용, 양파, 양송이버섯, 데미글라스 소스, 버터","당근, 우유","양식, 단백질",진한 하이라이스
M043,표고버섯 볶음,반찬-볶음,10,쉬움,"표고버섯, 양파, 진간장, 올리고당, 참기름, 참깨","쪽파, 당근","한식, 채소",쫄깃한 표고버섯 볶음
M044,우엉조림,반찬-조림,30,중간,"우엉, 진간장, 올리고당, 식초, 참깨","당근, 참기름","한식, 조림",도시락 단골 우엉조림
M045,연근조림,반찬-조림,25,쉬움,"연근, 진간장, 올리고당, 식초, 참깨",참기름,"한식, 조림",아삭한 연근조림
M046,깻잎무침,반찬-무침,10,쉬움,"깻잎, 진간장, 고춧가루, 다진마늘, 올리고당, 참깨","쪽파, 참기름","한식, 무침",향긋한 깻잎 무침
M047,호박전,반찬-전,15,쉬움,"애호박, 부침가루, 계란, 식용유, 소금",진간장,"한식, 전, 채소",동글동글 호박전
M048,메추리알 베이컨말이,반찬-육류,15,쉬움,"메추리알, 베이컨, 후추",케첩,"양식, 단백질",예쁜 도시락 단골 메뉴
M049,스팸 계란말이,반찬-계란,15,쉬움,"계란, 스팸, 식용유, 소금","쪽파, 당근, 치즈 슬라이스","한식, 계란",포실한 스팸 계란말이
M050,브로콜리 새우볶음,반찬-볶음,15,쉬움,"브로콜리, 새우, 다진마늘, 올리브유, 소금, 후추","양파, 굴소스","양식, 단백질",건강한 브로콜리 새우 볶음
